Organization,Number of Awards,Total Funding,Number of Researchers,Avg Funding per Award
"DYNAMAC MICROWAVE, INC.",1,254214.0,1,254214.0
CALM WATERS GROUP LLC,1,255937.0,1,255937.0
Modesto Junior College,1,400000.0,5,400000.0
OPEN SOURCE INSTRUMENTS INC.,1,240700.0,1,240700.0
Grand Valley State University,2,1273556.0,6,636778.0
"BADVR, INC.",1,1000000.0,1,1000000.0
"Cruz Foam, Inc.",1,1000000.0,1,1000000.0
"Optimeos Life Sciences, Inc.",2,1256000.0,3,628000.0
KW Associates LLC,1,704537.0,1,704537.0
"RIZLAB HEALTH, INC.",1,256000.0,2,256000.0
LISA HEALTH INC.,1,255742.0,3,255742.0
WEAV3D Inc.,1,999943.0,1,999943.0
kelaHealth Inc,1,693899.0,1,693899.0
New Mexico State University,5,646122.0,9,129224.4
"CANOMIKS, INC.",2,1254064.0,1,627032.0
"DOCUGAMI, INC.",1,998314.0,1,998314.0
"COHERENT PHOTONICS, LIMITED LIABILITY COMPANY",1,305000.0,1,305000.0
SCORPIDO PHOTONICS,1,274990.0,1,274990.0
Northern Kentucky University,3,295723.0,5,98574.33333333333
Veramorph LLC,2,1225000.0,1,612500.0
"AESIR TECHNOLOGIES, INC.",1,847543.0,1,847543.0
"NEURALTRAK, INC",1,275000.0,1,275000.0
"NU PLANET PHARMACEUTICAL RADIOISOTOPES, INC.",1,274821.0,1,274821.0
WiSys Technology Foundation Inc,1,999911.0,1,999911.0
LYBRA BIO INC.,1,304450.0,1,304450.0
Western New England University,1,399922.0,4,399922.0
SUSMAX LLC,2,1255755.0,1,627877.5
Hobart and William Smith Colleges,1,399499.0,2,399499.0
University of Colorado at Denver,3,1087757.0,4,362585.6666666667
VIRGINIA BIOTECHNOLOGY RESEARCH PARK,1,1000000.0,2,1000000.0
NAAMIRA BIOMEDICALS LLC,1,256000.0,1,256000.0
MORPHOSIS INC,1,275000.0,1,275000.0
"NEW ENGLAND HEMOLYTICS, INC.",1,274858.0,1,274858.0
APPLIED SCIENCE & TECHNOLOGY ORGANIZATION OF AMERICA CORP,1,999996.0,1,999996.0
"HALCYON BIOMEDICAL, INCORPORATED",1,749400.0,1,749400.0
RAINBOW HOSPITALITY LLC,1,302965.0,1,302965.0
IMMERSIVE REALITY GROUP LLC,1,255315.0,1,255315.0
ASTEK DIAGNOSTICS LLC,3,1522394.0,2,507464.6666666667
Resuture Inc.,2,1249875.0,1,624937.5
"Isolere Bio, Inc",1,902504.0,1,902504.0
ENGINEERING TECHNOLOGIES LLC,1,165637.0,1,165637.0
ADVENT Diamond,1,750000.0,1,750000.0
CHIBITRONICS INC.,2,1247336.0,1,623668.0
BLOOMALO LLC,1,256000.0,2,256000.0
Washburn University of Topeka,1,400000.0,1,400000.0
"VISIONAIRE PRODUCTS, INC",1,1000000.0,2,1000000.0
"Sasya, LLC",1,995239.0,1,995239.0
AQUA SCIENCE LLC,2,1490617.0,1,745308.5
"Resensys, LLC",1,749016.0,1,749016.0
MOLTEN INDUSTRIES INC.,1,256000.0,2,256000.0
ENVISION HEALTH TECHNOLOGIES INC,1,275000.0,2,275000.0
"PRENOSTIK, LLC",1,274471.0,1,274471.0
Amber Agriculture,1,990804.0,1,990804.0
"NEURODYNE, INC.",2,1219107.0,1,609553.5
"HEYKIDDO, LLC",2,1205863.0,1,602931.5
HERMES LIFE SCIENCES LTD,1,925493.0,1,925493.0
"THERAFLUOR, INC.",1,274999.0,2,274999.0
"AG350, INC.",1,251747.0,1,251747.0
SIRENOPT INC,1,274770.0,1,274770.0
ATOM BIOWORKS INC,2,1246875.0,1,623437.5
AI ACUITY,1,274623.0,1,274623.0
SANGTERA INC,2,1459000.0,2,729500.0
TATUM ROBOTICS LLC,2,1504228.0,1,752114.0
NUCLEON POWER INC,1,273834.0,1,273834.0
Funxion Wear,1,275000.0,1,275000.0
Maine Shellfish Developers LLC,1,256000.0,1,256000.0
Harvest Moon Automation,2,1482752.0,1,741376.0
Mount Marty College,1,998061.0,1,998061.0
"VERDOX, INC.",1,250010.0,1,250010.0
"ALSUS MEDICAL, INC.",1,255564.0,3,255564.0
Association of Science-Technology Centers,1,74788.0,1,74788.0
"MITO Material Solutions, Inc.",1,729892.0,2,729892.0
OPEN SOURCE HARDWARE ASSOCIATION,1,1494484.0,1,1494484.0
Kepler Diagnostics Inc.,1,256000.0,1,256000.0
Milwaukee School of Engineering,1,399506.0,3,399506.0
"INDUSTRIAL ANALYTICS AND MODELING, INC.",1,257604.0,1,257604.0
CAMBRIDGE TERAHERTZ INC,2,1524926.0,1,762463.0
University of Puerto Rico-Rio Piedras,1,50000.0,1,50000.0
ADVANCED GROWING RESOURCES INC.,2,1505180.0,2,752590.0
"WETX, INC.",2,1255946.0,1,627973.0
University of The Incarnate Word,1,399846.0,3,399846.0
"EPIImaging, LLC",1,999407.0,1,999407.0
"REDPOINT ONCOLOGY, INC.",1,305000.0,1,305000.0
SET POINT SOLUTIONS LLC,1,246858.0,1,246858.0
LIV LABS INC.,1,255078.0,2,255078.0
INITIUM AI INC.,3,1449443.0,2,483147.6666666667
Wichita State University,5,1449995.0,14,289999.0
"Misapplied Sciences, Inc.",1,750000.0,2,750000.0
"Active Energy Systems, Inc.",1,999444.0,1,999444.0
Pison Technology Inc,1,746991.0,2,746991.0
Eye-Predict,1,225000.0,1,225000.0
TANDA BIOTECH CORPORATION,1,275000.0,1,275000.0
ThermoDynamic Films,1,225000.0,1,225000.0
ARTEMIS INTELLIGENCE LLC,1,1168047.0,1,1168047.0
"Pheronym, Inc.",2,1196713.0,1,598356.5
Medical College of Wisconsin,2,100000.0,2,50000.0
"EYSZ, INC.",2,1253668.0,1,626834.0
"ALTYX SURGICAL, INC.",2,1231713.0,2,615856.5
X-COR THERAPEUTICS INC,1,274274.0,1,274274.0
"INFRATIE SOLUTIONS, LLC",1,274627.0,1,274627.0
Pure Biomass Inc.,2,1003857.0,1,501928.5
Drew University,1,50000.0,1,50000.0
"BATTERY STREAK, INC.",1,256000.0,2,256000.0
SINGLE CRYSTAL DIAMOND INC,1,274586.0,1,274586.0
University of Wisconsin-La Crosse,1,400000.0,3,400000.0
PI RADIO INC,2,1206907.0,2,603453.5
"ARACARI BIOSCIENCES, INC.",1,988018.0,1,988018.0
"VinSense, LLC",1,514295.0,5,514295.0
STL SCIENTIFIC LLC,1,974356.0,1,974356.0
"NALA SYSTEMS, INC.",1,999437.0,1,999437.0
CELLCHORUS INC.,1,274988.0,2,274988.0
Tidewater Community College,1,399999.0,4,399999.0
"ACADEMIC WEB PAGES, INC.",1,286418.0,1,286418.0
"NextGen Battery Technologies, LLC",1,1000000.0,1,1000000.0
TREESWIFT INC,1,1000000.0,1,1000000.0
"MARANI HEALTH, INC.",1,255762.0,1,255762.0
RocketML Inc,1,256000.0,1,256000.0
RISQ INC,1,750000.0,1,750000.0
University of Puerto Rico at Bayamon,2,999998.0,4,499999.0
ALIENBYTE SCIENTIFIC SOFTWARE INC,1,255807.0,1,255807.0
Thinking Robots Inc.,1,253836.0,2,253836.0
POWERSILO INC,1,255966.0,1,255966.0
COGWEAR LLC,1,256000.0,1,256000.0
MACROCYCLE TECHNOLOGIES,1,305000.0,1,305000.0
OPAL THERAPEUTICS INC,1,275000.0,1,275000.0
Texas Woman's University,1,50000.0,1,50000.0
Nikira Labs Inc.,1,748762.0,2,748762.0
eSens LLC,1,999016.0,1,999016.0
SAFEBVM CORP.,2,1255735.0,2,627867.5
Innovasonic,1,255730.0,1,255730.0
"SUBSEASAIL, INC",1,255923.0,2,255923.0
"NEXT-ION ENERGY, INC.",1,274537.0,1,274537.0
Meedan Labs,1,255997.0,1,255997.0
"ENDEAVOR COMPOSITES, INC.",2,1505998.0,3,752999.0
GRO BIOSCIENCES INC,1,1000000.0,1,1000000.0
"ABSCO THERAPEUTICS, INC.",1,305000.0,1,305000.0
SUNY College at Potsdam,1,50000.0,3,50000.0
TLC MILLIMETER WAVE PRODUCTS INC.,1,255973.0,1,255973.0
BOTELMOT RESEARCH LLC,1,254493.0,1,254493.0
"CALI'S BOOKS, LLC",2,1333349.0,1,666674.5
"FREE TO FEED, INC.",1,274946.0,1,274946.0
"PHENOTARGET BIOSCIENCES, INC.",1,255473.0,2,255473.0
"AVANT GENOMICS, LLC",1,305000.0,1,305000.0
ALLOY ENTERPRISES INC.,1,1000000.0,1,1000000.0
University of South Alabama,4,1845012.0,10,461253.0
TILE FARM LLC,1,1000000.0,1,1000000.0
BERKELEY MARINE ROBOTICS INC.,1,256000.0,1,256000.0
XMIZE LLC,1,275000.0,1,275000.0
"POLYPV, LLC",1,256000.0,2,256000.0
CARBIDE RADIO INC,1,275000.0,1,275000.0
"INNOGIZED TECHNOLOGIES, INC.",1,981746.0,1,981746.0
Colorado State University-Pueblo,1,399944.0,1,399944.0
JELIKALITE LLC,2,1215066.0,1,607533.0
"FERMI ENERGY, INC.",1,275000.0,2,275000.0
"ROOT AI, INC.",1,738909.0,1,738909.0
"PQSecure Technologies, LLC",1,748380.0,3,748380.0
"H-BAR INSTRUMENTS, LLC",2,1524770.0,2,762385.0
ATOM COMPUTING INC.,1,750000.0,1,750000.0
"ELEMENTUM 3D, INC.",1,744247.0,1,744247.0
"PRESAJ, INC.",1,256000.0,1,256000.0
AI POW LLC,2,1255889.0,1,627944.5
"Allegro 3D, Inc",1,997692.0,1,997692.0
"Max-IR Labs, LLC",1,750000.0,1,750000.0
"CATALYST CAMPUS FOR TECHNOLOGY AND INNOVATION, INC.",1,941375.0,1,941375.0
"OCEAN MOTION TECHNOLOGIES, INC.",2,1255535.0,1,627767.5
THE INDUSTRIAL COMMONS,1,15000000.0,7,15000000.0
OSMOSES INC.,1,253815.0,2,253815.0
"RoadPrintz, Inc.",1,999900.0,1,999900.0
AIKIDO TECHNOLOGIES INC,1,275000.0,1,275000.0
REVIVE BIOTECHNOLOGY INC.,2,1254356.0,6,627178.0
GRAVEL CAPITAL LLC,2,1256000.0,1,628000.0
RESOURCE CHEMICAL CORP.,2,1225000.0,1,612500.0
"SONOGEN MEDICAL, INC.",1,275000.0,3,275000.0
CONFLUENCY LLC,1,224936.0,1,224936.0
"CODON LEARNING, INC.",1,999724.0,1,999724.0
"WINDOW THERAPEUTICS, INC.",2,1256000.0,2,628000.0
"BACKSTOP NEURAL, INC",1,304259.0,1,304259.0
SHAMRCK SOCIAL IMPACT CORP,1,275000.0,1,275000.0
"TINKERCAST, LLC",1,716158.0,1,716158.0
College of Southern Nevada,1,400000.0,3,400000.0
OSSILLATE INC.,1,255805.0,1,255805.0
"MOIRES INSTRUMENTS, LLC",1,256000.0,1,256000.0
IMPACT PHOTONICS LLC,1,256000.0,1,256000.0
GenXComm Inc.,1,704874.0,1,704874.0
Northern Virginia Community College,2,1399999.0,5,699999.5
Gloucester Marine Genomics Institute,1,999558.0,3,999558.0
ThruPore Technologies,1,256000.0,1,256000.0
"Waviks, Inc.",1,746316.0,1,746316.0
ACTUALIZATION AI LLC,1,274926.0,1,274926.0
Wilkes University,2,1206408.0,5,603204.0
ZSENSE SYSTEMS LLC,1,256000.0,1,256000.0
TREYSTA MEDICAL TECHNOLOGIES LLC,1,304984.0,1,304984.0
"SEACOAST SCIENCE, INC",1,225000.0,1,225000.0
OFF PLANET RESEARCH L.L.C.,2,1221707.0,1,610853.5
"AVIOR, INC.",1,256000.0,1,256000.0
INSILICOM LLC,2,6073454.0,1,3036727.0
RUSHNU INC,1,275000.0,1,275000.0
"CHLOBIS WATER, INC.",1,256000.0,2,256000.0
ENABLE LIFE SCIENCES LLC,1,274975.0,1,274975.0
"ACROSS AI, INC",1,305000.0,1,305000.0
CORE BIOTHERAPEUTICS INC,1,303864.0,1,303864.0
PERAWATT ENERGY INC.,1,305000.0,2,305000.0
PROTIUM POWER SYSTEMS INC.,1,256000.0,2,256000.0
GRAPHENETX INC,1,305000.0,2,305000.0
"Ambi Robotics, Inc.",1,972586.0,1,972586.0
"TERRAFUSE, INC.",1,750000.0,4,750000.0
"RECON RF, INC.",1,999971.0,1,999971.0
POLLUX TECHNOLOGIES LLC,1,269498.0,1,269498.0
"RESONANTIA DIAGNOSTICS, INC.",1,305000.0,1,305000.0
"Delta Bravo Artificial Intelligence, Inc.",2,5618698.72,4,2809349.36
"Construkts, Inc.",1,256000.0,1,256000.0
"ANGIOINSIGHT, INC.",1,256000.0,2,256000.0
"framergy, Inc.",1,247457.0,1,247457.0
BANYU CARBON INC,1,274094.0,1,274094.0
Katz Water Technologies,1,715127.0,1,715127.0
VIVOSPHERE LLC,1,275000.0,2,275000.0
DISTRIBUTED SPECTRUM LLC,1,231904.0,1,231904.0
GASKIYA DIAGNOSTICS LLC,1,224980.0,1,224980.0
"Current Innovation, NFP",1,14708023.0,2,14708023.0
PHOTONECT INTERCONNECT SOLUTIONS INC,2,1524996.0,1,762498.0
NEXTPRINTED SOLAR LLC,1,225000.0,2,225000.0
LABBY INC.,2,1141897.0,2,570948.5
"CANETIA ANALYTICS, INC.",2,1248459.0,1,624229.5
Mirada Technologies Inc.,1,749740.0,1,749740.0
ELIF ENVIRONMENTAL LLC,1,275000.0,1,275000.0
MULTITARGA LLC,1,304995.0,1,304995.0
"PERCEPTRA TECHNOLOGIES, INC.",1,275000.0,1,275000.0
PRAG LLC,2,1437604.0,1,718802.0
"VYNANCE TECHNOLOGIES, LLC",1,255987.0,1,255987.0
Gel4Med,1,225000.0,1,225000.0
"ANCILIA, INC.",1,255717.0,2,255717.0
AGTEC INNOVATIONS INC,1,274457.0,1,274457.0
"LIMAX BIOSCIENCES, INC.",1,305000.0,1,305000.0
NONLINEAR MATERIALS CORPORATION,1,256000.0,2,256000.0
CANISIUS UNIVERSITY OF BUFFALO NEW YORK,1,350000.0,3,350000.0
"FELIX BIOTECHNOLOGY, INC.",1,256000.0,2,256000.0
STELLAR ENGIINE,1,305000.0,1,305000.0
QUINTESSENT INC.,1,999999.0,1,999999.0
MYVILLAGE PROJECT INC,1,999828.0,2,999828.0
GEMINATIO INC.,1,1250000.0,1,1250000.0
SUBMARINE SCIENTIFIC LLC,1,294759.0,1,294759.0
VIRTUAL COLLABORATION RESEARCH INC.,1,999998.0,1,999998.0
"GROUND CONTROL ROBOTICS, INC.",1,275000.0,2,275000.0
"NOT SUSPICIOUS, LLC",1,993773.0,2,993773.0
University of Southern Mississippi,3,6335504.0,8,2111834.6666666665
InsightFinder Inc.,1,256000.0,1,256000.0
The University of Texas Rio Grande Valley,2,749343.0,7,374671.5
"MFNS TECH, INC.",2,1247946.0,1,623973.0
GUARDIANSAT LLC,1,273332.0,2,273332.0
ATHEM L.L.C.,2,1255941.0,1,627970.5
"PARAMITA THERAPEUTICS, INC.",1,255990.0,1,255990.0
SPIRA INC,1,255416.0,1,255416.0
Northwestern University at Chicago,1,50000.0,1,50000.0
"Triangle Biotechnology, Inc.",1,225000.0,1,225000.0
RIVALIA CHEMICAL CO,1,275000.0,1,275000.0
SWAY INNOVATION CO.,1,272397.0,2,272397.0
"SANTA FE QUANTUM SOLUTIONS, INC.",1,225000.0,2,225000.0
Guilford College,1,399991.0,3,399991.0
RAPIDECT INC,1,256000.0,2,256000.0
"Membrion, Inc.",1,256000.0,2,256000.0
Antithesis Foods Inc.,1,998717.0,1,998717.0
"AMCYT, INC.",1,255991.0,2,255991.0
Wake Technical Community College,1,882115.0,3,882115.0
SUPERIOR NANO LLC,2,1503672.0,1,751836.0
Precision Neuroscopics,1,1000000.0,2,1000000.0
Circle Optics LLC,1,999499.0,1,999499.0
SCRIPT BIOSCIENCES INC,1,274438.0,1,274438.0
Development Gateway,1,1124598.0,1,1124598.0
"EMTRUTH, INC.",2,1253749.0,1,626874.5
"FIGURE 8, INC.",1,274922.0,1,274922.0
"ELEKTRODA, LLC",1,253773.0,1,253773.0
"FLAWLESS PHOTONICS, INC.",1,274999.0,1,274999.0
Rhode Island School of Design,1,400000.0,3,400000.0
"VAXFORM, LLC",1,256000.0,1,256000.0
"DIRECT COMBUSTION TECHNOLOGIES, LLC",1,255597.0,3,255597.0
CHANGEAERIAL LLC,1,274727.0,1,274727.0
"TERRAINWORKS, INC.",1,5000000.0,3,5000000.0
Protabit LLC,1,1000000.0,2,1000000.0
"Harvest CROO, LLC",1,749720.0,1,749720.0
EMODE PHOTONIX LLC,1,305000.0,1,305000.0
"CORELESS TECHNOLOGIES, INC.",1,991478.0,1,991478.0
"BLUEWONDER CREATIVE, LLC",1,255932.0,1,255932.0
HELIX EARTH TECHNOLOGIES INC,2,1522741.0,1,761370.5
SMART GIRLS HQ LLC,2,1255735.0,1,627867.5
Chico State Enterprises,1,399998.0,4,399998.0
Agile RF Systems LLC,1,275000.0,1,275000.0
"INVVAX, INC.",2,1252533.0,1,626266.5
SUBTLE TECHNOLOGY LLC,1,256000.0,1,256000.0
"COMMUNITY ENERGY LABS, INC",1,275000.0,1,275000.0
Winston-Salem State University,1,370000.0,5,370000.0
"MONSTR SENSE TECHNOLOGIES, LLC",1,1000000.0,1,1000000.0
Rowan College of Burlington County,1,400000.0,4,400000.0
"Transaera, Inc.",1,714688.0,1,714688.0
FlexTraPower,1,730200.0,1,730200.0
"RockyTech, Ltd. ",1,750000.0,4,750000.0
"HABITAWARE, INC.",1,998258.0,1,998258.0
SEQUEGENICS LLC,1,251073.0,1,251073.0
MAGNIFY BIOSCIENCES INC.,1,274998.0,1,274998.0
PUBLIC POLICY LAB,1,2109800.0,2,2109800.0
"WRIGHTGUARD INNOVATIONS CORPORATION, THE",1,255944.0,1,255944.0
"NOSTOPHARMA, LLC",2,1256000.0,4,628000.0
ABBERIT LLC,1,256000.0,1,256000.0
Cleveland Clinic Foundation,1,289962.0,1,289962.0
FEMTOFLUIDICS INCORPORATED,1,274932.0,1,274932.0
"CARAVEL BIO, INC.",2,8075000.0,4,4037500.0
Howe Industries LLC,1,996231.0,1,996231.0
"Micro-Leads,Inc.",1,492944.0,1,492944.0
QUASISTATICS INC,1,863501.0,2,863501.0
"IGNEOUS IP HOLDINGS, LLC",1,225000.0,1,225000.0
UNITARY FUND,1,1480018.0,2,1480018.0
ADAPTIVE WAVES INC.,1,998942.0,1,998942.0
"INCEPTION ROBOTICS, LLC",1,255428.0,1,255428.0
CRYPTO ASSET TECHNOLOGY LABS INC,1,275000.0,1,275000.0
EARTHEN INC.,1,274723.0,2,274723.0
"SEMEN AND EMBRYO ADVANCED REPRODUCTIVE TECHNOLOGIES (SMART), LLC",1,274996.0,1,274996.0
"Pensievision, Inc.",1,255947.0,1,255947.0
Advaita Corporation,2,970700.0,3,485350.0
Ivy Tech Community College of Indiana,1,399969.0,1,399969.0
Embry-Riddle Aeronautical University,2,1049982.0,5,524991.0
North Arkansas College,1,399189.0,2,399189.0
University of Texas Southwestern Medical Center,2,100000.0,2,50000.0
SHERO LLC,1,256000.0,1,256000.0
"ALVA HEALTH, INC.",1,1000000.0,1,1000000.0
"VUEMEN, INC.",1,275000.0,3,275000.0
"EarthSense, Inc.",1,750000.0,1,750000.0
LEARN2EARN CORPORATION,1,255844.0,2,255844.0
"GROUP1, INC.",1,274986.0,2,274986.0
"INZIO, INC.",1,255437.0,1,255437.0
CONNECTED WISE LLC,1,274553.0,1,274553.0
MONOGRAM ORTHOPAEDICS INC.,1,256000.0,1,256000.0
"ACRIGEN BIOSCIENCES, INC.",1,1000000.0,1,1000000.0
"Cal Poly Pomona Foundation, Inc.",2,230000.0,4,115000.0
OBLIVIOUS LABS INC.,1,274988.0,1,274988.0
Northern Michigan University,1,50000.0,2,50000.0
"SUBSEA DATA SYSTEMS, INC.",1,254816.0,1,254816.0
"CACHE DNA, INC.",2,1505138.0,1,752569.0
Kepley Biosystems Incorporated,2,1255833.0,1,627916.5
LASER GRAPHICTRONICS LLC,1,275000.0,3,275000.0
JUNO PROPULSION INC.,1,274969.0,1,274969.0
"Swarm Technologies, LLC",1,740743.0,1,740743.0
University of Nebraska Medical Center,1,50000.0,1,50000.0
"AQUAGGA, INC.",2,1235270.0,3,617635.0
"DUET BIOSYSTEMS, INC",1,264736.0,2,264736.0
"REPURPOSE ENERGY, INC.",1,256000.0,1,256000.0
National University,1,400000.0,2,400000.0
MUON VISION INC.,1,978286.0,1,978286.0
Old Dominion University Research Foundation,5,441211.0,7,88242.2
"ALLIUM ENGINEERING, INC",1,274993.0,1,274993.0
"LEARNINGCLUES, LLC",1,256000.0,1,256000.0
SUBUAS LLC,1,255979.0,2,255979.0
"CYPRIS MATERIALS, INC.",1,999929.0,1,999929.0
"MAPLESS AI, INC.",1,1000000.0,1,1000000.0
"GATE SCIENTIFIC, INC.",1,999656.0,1,999656.0
CLAUDIUS LEGAL INTELLIGENCE INC,2,1203862.0,3,601931.0
"ONESEVENTEEN MEDIA, PBC",1,256000.0,1,256000.0
ONCOBLAZE LLC,1,275000.0,2,275000.0
"3DEO, Inc.",1,750000.0,1,750000.0
SUNY Onondaga Community College,1,400000.0,3,400000.0
"Impleo Medical, Inc.",1,750000.0,1,750000.0
"PRIMARY BIOSCIENCE, INC.",1,305000.0,2,305000.0
CRCL SOLUTIONS LLC,1,254060.0,1,254060.0
Teknikio,1,749217.0,1,749217.0
VITRO3D INC.,2,1512656.0,1,756328.0
"T33 DENTAL, INC.",1,275000.0,1,275000.0
"California State University, Trustees",1,68201.0,1,68201.0
"Explore Interactive, Inc.",1,1000000.0,1,1000000.0
"ISLEX THERAPEUTICS, LLC",1,275000.0,3,275000.0
R7 INSTRUMENTS INC,1,303669.0,1,303669.0
InnovBot LLC,1,866830.0,2,866830.0
The University of Texas Health Science Center at Houston,2,100000.0,3,50000.0
AT&T,1,4999668.08,6,4999668.08
Sironix Renewables,1,723522.0,1,723522.0
Children's Research Institute,1,50000.0,1,50000.0
SOAR ANALYTICS LLC,1,256000.0,1,256000.0
RALPHVR INC.,1,252082.0,1,252082.0
"SKYHAVEN SYSTEMS, LLC",1,255998.0,1,255998.0
UNLAB LLC,1,275000.0,1,275000.0
OPSUS LLC,1,219927.0,1,219927.0
"BLOOM SURGICAL, INC.",1,256000.0,1,256000.0
"NAMAKA ALGAE, INC",1,304541.0,1,304541.0
LADON ROBOTICS LLC,1,256000.0,1,256000.0
"4-D AVIONIC SYSTEMS, LLC",2,1255913.0,1,627956.5
South Dakota State University,2,350000.0,5,175000.0
"BIOLATTICE, LLC",1,274416.0,1,274416.0
"INTERSPHERE, INC.",2,1256000.0,1,628000.0
Grinnell College,1,400000.0,4,400000.0
"INSIGNA, INC.",2,529760.0,2,264880.0
"CASIMIR, INC",1,274920.0,1,274920.0
"ISEECHANGE, Inc.",2,1274381.0,1,637190.5
"SILIVHERE TECHNOLOGIES, INC.",1,254278.0,2,254278.0
"QUANTUM ENERGY, INC.",1,255960.0,1,255960.0
"ARINNA, INC",1,305000.0,1,305000.0
RENEWCO2 LLC,2,1206840.0,2,603420.0
ATLANTIC FISH CO LLC,1,305000.0,1,305000.0
SUNY Polytechnic Institute,3,500000.0,6,166666.66666666666
"STOKE SPACE TECHNOLOGIES, INC.",1,1000000.0,1,1000000.0
ESM GLOBAL PRODUCTIONS LLC,2,1275000.0,1,637500.0
ADVISORY AEROSPACE OSC LLC,2,1248561.0,1,624280.5
ADVANCED CARPET RECYCLING LLC,1,275000.0,1,275000.0
"TORO BIO, INC.",1,304870.0,1,304870.0
"XTRACT MEDICAL, INC.",1,275000.0,1,275000.0
"SPATIO METRICS, INC.",1,255882.0,1,255882.0
Electronic Bio Sciences,1,256000.0,1,256000.0
Synvivia,1,255910.0,1,255910.0
"CRYSTAL SONIC, INC.",2,1275000.0,1,637500.0
"SILICON DYNAMIX, INC.",1,926538.0,2,926538.0
"GOTENNA, INC.",1,229723.0,1,229723.0
SMARTCHARTS INC.,1,275000.0,1,275000.0
NITRO BIOSCIENCES INC.,1,304438.0,2,304438.0
"NEUROLIGHT, INC.",1,255851.0,1,255851.0
CAIRA SURGICAL CORPORATION,1,255978.0,1,255978.0
"Avium, LLC",1,750000.0,2,750000.0
COVALABIO INC.,1,275000.0,1,275000.0
STYLOSONIC LLC,1,255757.0,1,255757.0
"PROXIMAL, LLC",1,255990.0,1,255990.0
PHARMACOUSTICS TECHNOLOGIES LLC,2,1253696.0,3,626848.0
Supranational LLC,1,999976.0,1,999976.0
CUNY Brooklyn College,1,50000.0,1,50000.0
ZEALOUS RESEARCH LLC,1,275000.0,2,275000.0
SGNT INC,1,749108.0,2,749108.0
SITKANA INC,1,305000.0,2,305000.0
"ASTRIA BIOSCIENCES, INC.",1,275000.0,1,275000.0
California State University-Fresno Foundation,1,727127.0,2,727127.0
"BEKEN BIO, INC.",1,275000.0,1,275000.0
"TQIntelligence, Inc.",1,932584.0,1,932584.0
"IKONA, INC.",1,255901.0,2,255901.0
College of Southern Maryland,1,300000.0,1,300000.0
"TIWAZ TECHNOLOGIES, LLC",1,274883.0,2,274883.0
"CAPORUS TECHNOLOGIES, LLC",1,256000.0,1,256000.0
AI SENSE LLC,1,304996.0,1,304996.0
"GLOBAL COOLING TECHNOLOGY GROUP, LLC",2,1234431.0,2,617215.5
"INNOVEIN, INC",1,726664.0,2,726664.0
BETAFELD LLC,1,274999.0,1,274999.0
"INNATRIX, INC.",2,1221650.0,1,610825.0
Precision Microwave Inc.,1,749554.0,2,749554.0
Loyola Marymount University,1,749599.0,5,749599.0
MINERVA LITHIUM LLC,1,256000.0,1,256000.0
"HARPE BIOHERBICIDE SOLUTIONS, INC.",1,274927.0,1,274927.0
"MANZANITA COOPERATIVE, INC.",1,254903.0,1,254903.0
SIPPA Solutions LLC,1,711189.0,2,711189.0
"DEFINED BIOSCIENCE, INC.",1,274995.0,1,274995.0
"Armaments Research Company, Inc.",1,750000.0,3,750000.0
URL TO IRL INC.,1,274990.0,1,274990.0
LEVIOSA TECHNOLOGIES LLC,1,275000.0,3,275000.0
Southern Connecticut State University,1,398176.0,4,398176.0
WEEL AUTONOMY INC.,1,275000.0,1,275000.0
"PolySpectra, Inc",1,749867.0,1,749867.0
"ActivSignal, LLC",1,1000000.0,1,1000000.0
"Stony Creek Colors, Inc",1,750000.0,2,750000.0
"ARROWHEAD BIO, INC.",1,305000.0,2,305000.0
SUPERBLOOM DESIGN,1,299993.0,1,299993.0
Tethys Research LLC,1,255912.0,1,255912.0
ERROR CORP.,1,255414.0,1,255414.0
OSTIIO LLC,2,1256000.0,1,628000.0
"QUADRALYNX, INC",2,1238887.0,3,619443.5
"AL-POWER, INC.",1,750000.0,1,750000.0
"ONCLAVE NETWORKS, INC.",1,255663.0,1,255663.0
Southern Illinois University at Carbondale,2,299998.0,1,149999.0
MODENDO INC.,2,1250138.0,1,625069.0
"DIFFRACT TECHNOLOGY, INC.",2,1254901.0,1,627450.5
"CARE WEATHER TECHNOLOGIES, LLC",1,274937.0,2,274937.0
"STARLING MEDICAL, INC.",1,255988.0,1,255988.0
"ZEPHYR INNOVATIONS, INC.",1,255965.0,1,255965.0
CORLENS INC.,1,275000.0,1,275000.0
H2C ENERGY INC.,1,301578.0,2,301578.0
"INOON, LLC",1,225000.0,1,225000.0
"CORAVIE MEDICAL, INC.",1,275000.0,3,275000.0
"The University Corporation, Northridge",2,793215.0,6,396607.5
PERATON LABS INC,1,2564932.0,1,2564932.0
"CASTAG BIOSCIENCES, INC.",1,255730.0,1,255730.0
University of Maryland at Baltimore,1,50000.0,1,50000.0
"ESTE(TM) LEVERAGE, INC.",1,274299.0,1,274299.0
LUMINA INSTRUMENTS INC.,2,1255999.0,1,627999.5
LF PRINTECH LLC,1,305000.0,3,305000.0
STARK STREET MATERIALS COMPANY,2,1247621.0,1,623810.5
PATHFLOW INC.,1,275000.0,1,275000.0
2INNOVATE LLC,1,275000.0,2,275000.0
BRAILLEWEAR,1,274999.0,1,274999.0
"Vibronix, Inc.",1,703352.0,1,703352.0
